rank,state,city,latitude,longitude,population,growth
1,New York,New York,40.7127837,-74.0059413,8405837,4.8
2,California,Los Angeles,34.0522342,-118.2436849,3884307,4.8
3,Illinois,Chicago,41.8781136,-87.6297982,2718782,-6.1
4,Texas,Houston,29.7604267,-95.3698028,2195914,11
5,Pennsylvania,Philadelphia,39.9525839,-75.1652215,1553165,2.6
6,Arizona,Phoenix,33.4483771,-112.0740373,1513367,14
7,Texas,San Antonio,29.4241219,-98.49362819999999,1409019,21
8,California,San Diego,32.715738,-117.1610838,1355896,10.5
9,Texas,Dallas,32.7766642,-96.79698789999999,1257676,5.6
10,California,San Jose,37.3382082,-121.8863286,998537,10.5
11,Texas,Austin,30.267153,-97.7430608,885400,31.7
12,Indiana,Indianapolis,39.768403,-86.158068,843393,7.8
13,Florida,Jacksonville,30.3321838,-81.65565099999999,842583,14.3
14,California,San Francisco,37.7749295,-122.4194155,837442,7.7
15,Ohio,Columbus,39.9611755,-82.99879419999999,822553,14.8
16,North Carolina,Charlotte,35.2270869,-80.8431267,792862,39.1
17,Texas,Fort Worth,32.7554883,-97.3307658,792727,45.1
18,Michigan,Detroit,42.331427,-83.0457538,688701,-27.1
19,Texas,El Paso,31.7775757,-106.4424559,674433,19.4
20,Tennessee,Memphis,35.1495343,-90.0489801,653450,-5.3
21,Washington,Seattle,47.6062095,-122.3320708,652405,15.6
22,Colorado,Denver,39.7392358,-104.990251,649495,16.7
23,District of Columbia,Washington,38.9071923,-77.0368707,646449,13
24,Massachusetts,Boston,42.3600825,-71.0588801,645966,9.4
25,Tennessee,Nashville-Davidson,36.1626638,-86.7816016,634464,16.2
26,Maryland,Baltimore,39.2903848,-76.6121893,622104,-4
27,Oklahoma,Oklahoma City,35.4675602,-97.5164276,610613,20.2
28,Kentucky,Louisville/Jefferson County,38.2526647,-85.7584557,609893,10
29,Oregon,Portland,45.5230622,-122.6764816,609456,15
30,Nevada,Las Vegas,36.1699412,-115.1398296,603488,24.5
31,Wisconsin,Milwaukee,43.0389025,-87.9064736,599164,0.3
32,New Mexico,Albuquerque,35.0853336,-106.6055534,556495,23.5
33,Arizona,Tucson,32.2217429,-110.926479,526116,7.5
34,California,Fresno,36.7468422,-119.7725868,509924,18.3
35,California,Sacramento,38.5815719,-121.4943996,479686,17.2
36,California,Long Beach,33.7700504,-118.1937395,469428,1.5
37,Missouri,Kansas City,39.0997265,-94.5785667,467007,5.5
38,Arizona,Mesa,33.4151843,-111.8314724,457587,13.5
39,Virginia,Virginia Beach,36.8529263,-75.97798499999999,448479,5.1
40,Georgia,Atlanta,33.7489954,-84.3879824,447841,6.2
41,Colorado,Colorado Springs,38.8338816,-104.8213634,439886,21.4
42,Nebraska,Omaha,41.2523634,-95.99798829999999,434353,5.9
43,North Carolina,Raleigh,35.7795897,-78.6381787,431746,48.7
44,Florida,Miami,25.7616798,-80.1917902,417650,14.9
45,California,Oakland,37.8043637,-122.2711137,406253,1.3
46,Minnesota,Minneapolis,44.977753,-93.2650108,400070,4.5
47,Oklahoma,Tulsa,36.1539816,-95.99277500000001,398121,1.3
48,Ohio,Cleveland,41.49932,-81.6943605,390113,-18.1
49,Kansas,Wichita,37.688889,-97.336111,386552,9.7
50,Texas,Arlington,32.735687,-97.10806559999999,379577,13.3
