city,growth,latitude,longitude,population,state
St. Cloud,86.2,28.2489016,-81.2811801,40918,Florida
Normal,19.7,40.5142026,-88.9906312,54664,Illinois
La Puente,-1.6,34.0200114,-117.9495083,40435,California
Skokie,2.8,42.0324025,-87.7416246,65176,Illinois
San Mateo,9,37.5629917,-122.3255254,101128,California
Cedar Falls,12,42.5348993,-92.4453161,40566,Iowa
Farmington Hills,-0.9,42.4989936,-83.3677168,81295,Michigan
Garden Grove,5.8,33.7739053,-117.9414477,175140,California
Redondo Beach,6.7,33.8491816,-118.3884078,67815,California
Urbandale,41.5,41.6266555,-93.71216559999999,41776,Iowa
Daly City,1,37.6879241,-122.4702079,104739,California
Elgin,16,42.0354084,-88.2825668,110145,Illinois
Bartlett,31.7,35.2045328,-89.8739753,58226,Tennessee
Gary,-23.4,41.5933696,-87.3464271,78450,Indiana
Huntsville,13.2,30.7235263,-95.55077709999999,39795,Texas
Altamonte Springs,2,28.6611089,-81.3656242,42150,Florida
Coppell,10.3,32.9545687,-97.01500779999999,40342,Texas
Springfield,7.8,37.2089572,-93.29229889999999,164122,Missouri
Cape Girardeau,9.4,37.3058839,-89.51814759999999,38816,Missouri
Hayward,7.5,37.6688205,-122.0807964,151574,California
College Station,45.2,30.627977,-96.3344068,100050,Texas
Gardena,3.4,33.8883487,-118.3089624,59957,California
Longview,11.6,32.5007037,-94.74048909999999,81443,Texas
Alameda,5.4,37.7652065,-122.2416355,76419,California
Coeur d'Alene,32.8,47.6776832,-116.7804664,46402,Idaho
Columbus,14.8,39.9611755,-82.99879419999999,822553,Ohio
Union City,1.7,40.6975898,-74.26316349999999,68247,New Jersey
Centennial,3.5,39.5807452,-104.8771726,106114,Colorado
Cambridge,5.5,42.3736158,-71.10973349999999,107289,Massachusetts
Sherman,11.6,33.6356618,-96.6088805,39296,Texas
Bristol,0.4,41.67176480000001,-72.9492703,60568,Connecticut
Crystal Lake,5.3,42.2411344,-88.31619649999999,40388,Illinois
Downey,5.3,33.9401088,-118.1331593,113242,California
Sunrise,4.6,26.1669711,-80.25659499999999,90116,Florida
Pinellas Park,5.9,27.8428025,-82.6995443,49998,Florida
Plantation,8.6,26.1275862,-80.23310359999999,90268,Florida
Burlington,12.1,36.0956918,-79.43779909999999,51510,North Carolina
Cupertino,14.3,37.3229978,-122.0321823,60189,California
Simi Valley,12.6,34.2694474,-118.781482,126181,California
Arlington,13.3,32.735687,-97.10806559999999,379577,Texas
Frisco,287.7,33.1506744,-96.82361159999999,136791,Texas
Mishawaka,2,41.6619927,-86.15861559999999,47989,Indiana
West Jordan,38.4,40.6096698,-111.9391031,110077,Utah
St. Clair Shores,-4.6,42.4974085,-82.89636039999999,60070,Michigan
Woodland,13.8,38.67851570000001,-121.7732971,56590,California
Newark,3.3,37.5296593,-122.0402399,44096,California
Richardson,13.2,32.9483335,-96.7298519,104475,Texas
Dearborn Heights,-3,42.3369816,-83.27326269999999,56620,Michigan
New Britain,1.9,41.6612104,-72.7795419,72939,Connecticut
Sioux City,-2.9,42.4999942,-96.40030689999999,82459,Iowa
Bellevue,20.5,41.1543623,-95.9145568,53663,Nebraska
Kennewick,29.1,46.2112458,-119.1372338,76762,Washington
Jefferson City,6.7,38.57670170000001,-92.1735164,43330,Missouri
Palm Coast,137.2,29.5844524,-81.20786989999999,78740,Florida
Huber Heights,-0.2,39.843947,-84.12466080000002,38142,Ohio
Lawton,4.9,34.6035669,-98.39592909999999,97151,Oklahoma
Upland,9.5,34.09751,-117.6483876,75413,California
Warwick,-4.6,41.7001009,-71.4161671,81971,Rhode Island
Eugene,14.4,44.0520691,-123.0867536,159190,Oregon
Tallahassee,21.8,30.4382559,-84.28073289999999,186411,Florida
Bell Gardens,-2.7,33.9652918,-118.1514588,42889,California
Cape Coral,60.4,26.5628537,-81.9495331,165831,Florida
Germantown,4.1,35.0867577,-89.8100858,39375,Tennessee
Philadelphia,2.6,39.9525839,-75.1652215,1553165,Pennsylvania
Greensboro,22.3,36.0726354,-79.7919754,279639,North Carolina
Hanford,30.3,36.3274502,-119.6456844,54686,California
Hackensack,2.9,40.8859325,-74.0434736,44113,New Jersey
Campbell,4.2,37.2871651,-121.9499568,40584,California
Bullhead City,15.9,35.1359386,-114.5285981,39383,Arizona
Asheville,19.6,35.5950581,-82.5514869,87236,North Carolina
Sierra Vista,19.3,31.5455001,-110.2772856,45129,Arizona
Sterling Heights,5.2,42.5803122,-83.0302033,131224,Michigan
Prescott,18.1,34.5400242,-112.4685025,40590,Arizona
Texas City,10.3,29.383845,-94.9027002,46081,Texas
Aventura,47.2,25.9564812,-80.1392121,37199,Florida
Elkhart,-2.5,41.6819935,-85.9766671,51265,Indiana
Oceanside,6.6,33.1958696,-117.3794834,172794,California
Collierville,43.4,35.042036,-89.6645266,47333,Tennessee
Elyria,-3.7,41.3683798,-82.10764859999999,53956,Ohio
Syracuse,-0.9,43.0481221,-76.14742439999999,144669,New York
Wilkes-Barre,-4.3,41.2459149,-75.88130749999999,41108,Pennsylvania
Schaumburg,-0.5,42.0333607,-88.0834059,74907,Illinois
Norwich,11.6,41.5242649,-72.07591049999999,40347,Connecticut
Fayetteville,2.4,35.0526641,-78.87835849999999,204408,North Carolina
Yakima,11.7,46.6020711,-120.5058987,93257,Washington
Pasadena,7.5,29.6910625,-95.2091006,152735,Texas
South Jordan,100.1,40.5621704,-111.929658,59366,Utah
Huntington Park,-4.1,33.9816812,-118.2250725,58879,California
Mesa,13.5,33.4151843,-111.8314724,457587,Arizona
Azusa,6.7,34.1336186,-117.9075627,47842,California
Bethlehem,5.2,40.6259316,-75.37045789999999,75018,Pennsylvania
Manhattan,22.8,39.18360819999999,-96.57166939999999,56143,Kansas
Blaine,32.8,45.1607987,-93.23494889999999,60407,Minnesota
West Sacramento,55.6,38.5804609,-121.530234,49891,California
Vista,7.7,33.2000368,-117.2425355,96929,California
Reno,26.8,39.5296329,-119.8138027,233294,Nevada
Santa Rosa,15.2,38.440429,-122.7140548,171990,California
Meridian,-0.9,32.3643098,-88.703656,40921,Mississippi
Portage,5.7,42.2011538,-85.5800022,47523,Michigan
Richmond,8.2,37.5407246,-77.4360481,214114,Virginia
El Cajon,7.4,32.7947731,-116.9625269,102211,California
Fort Worth,45.1,32.7554883,-97.3307658,792727,Texas
San Angelo,10.2,31.4637723,-100.4370375,97492,Texas
Rancho Cucamonga,32.7,34.10639889999999,-117.5931084,171386,California
Hartford,0.6,41.76371109999999,-72.6850932,125017,Connecticut
Terre Haute,2.5,39.4667034,-87.41390919999999,61025,Indiana
Edmond,26.9,35.6528323,-97.47809540000002,87004,Oklahoma
Clifton,7.9,40.8584328,-74.16375529999999,85390,New Jersey
Corvallis,11.8,44.5645659,-123.2620435,55298,Oregon
Schenectady,6.7,42.8142432,-73.9395687,65902,New York
Oro Valley,27,32.3909071,-110.966488,41627,Arizona
Noblesville,88.1,40.0455917,-86.0085955,56540,Indiana
Downers Grove,0,41.8089191,-88.01117459999999,49670,Illinois
Chula Vista,46.2,32.6400541,-117.0841955,256780,California
Calumet City,-4.5,41.6155909,-87.5294871,37240,Illinois
Waco,12.5,31.549333,-97.1466695,129030,Texas
Tustin,15.6,33.7458511,-117.826166,78327,California
Cathedral City,23.2,33.7805388,-116.4668036,52977,California
Fort Smith,8.6,35.3859242,-94.39854749999999,87650,Arkansas
Green Bay,1.9,44.51915899999999,-88.019826,104779,Wisconsin
Galveston,-15.2,29.3013479,-94.7976958,48733,Texas
Wauwatosa,0,43.0494572,-88.0075875,47134,Wisconsin
Lewisville,28.9,33.046233,-96.994174,101074,Texas
Arcadia,8.3,34.1397292,-118.0353449,57639,California
Anchorage,15.4,61.2180556,-149.9002778,300950,Alaska
Livermore,15.1,37.6818745,-121.7680088,85156,California
Garland,8.5,32.912624,-96.63888329999999,234566,Texas
Decatur,3.1,34.6059253,-86.9833417,55816,Alabama
Grand Rapids,-2.8,42.9633599,-85.6680863,192294,Michigan
