NAME	LOCATION	STATUS	LATX	LONGX	TYPE
West Eifel Volc Field	Germany	Radiocarbon	50.16666667	6.85	Maars
Chaîne des Puys	France	Radiocarbon	45.775	2.966666667	Lava domes
Olot Volc Field	Spain	Holocene	42.16666667	2.533333333	Pyroclastic cones
Calatrava Volc Field	Spain	Radiocarbon	38.86666667	-4.016666667	Pyroclastic cones
Larderello	Italy	Historical	43.25	10.86666667	Explosion craters
Vulsini	Italy	Historical	42.6	11.93333333	Caldera
Alban Hills	Italy	Holocene?	41.73333333	12.7	Caldera
Campi Flegrei	Italy	Historical	40.82722222	14.13888889	Caldera
Vesuvius	Italy	Historical	40.82138889	14.42611111	Somma volcano
Palinuro	Italy	Radiocarbon	39.48333333	14.83333333	Submarine volcano
Ischia	Italy	Historical	40.73333333	13.8975	Complex volcano
Panarea	Italy	Holocene?	38.63333333	15.06666667	Stratovolcano
Lipari	Italy	Radiocarbon	38.48333333	14.95	Stratovolcanoes
Stromboli	Italy	Historical	38.78944444	15.21305556	Stratovolcano
Vulcano	Italy	Historical	38.40361111	14.96166667	Stratovolcanoes
Etna	Italy	Historical	37.73416667	15.00444444	Stratovolcanoes
Pantelleria	Italy	Historical	36.76666667	12.01666667	Shield volcano
Campi Flegrei Mar Sicilia	Italy	Historical	37.1	12.7	Submarine volcanoes
Methana	Greece	Historical	37.61527778	23.33555556	Lava domes
Mílos	Greece	Radiocarbon	36.69861111	24.43888889	Stratovolcanoes
Santorini	Greece	Historical	36.40361111	25.39638889	Shield volcanoes
Yali	Greece	Holocene	36.67055556	27.13972222	Lava domes
Nisyros	Greece	Historical	36.58555556	27.15972222	Stratovolcano
Kula	Turkey	Holocene	38.58333333	28.51666667	Cinder cones
Karapinar Field	Turkey	Holocene	37.66666667	33.65	Cinder cones
Hasan Dagi	Turkey	Holocene	38.13333333	34.16666667	Stratovolcano
Göllü Dag	Turkey	Holocene?	38.25	34.56666667	Lava dome
Acigöl-Nevsehir	Turkey	Anthropology	38.56666667	34.51666667	Caldera
Karaca Dag	Turkey	Holocene	37.66666667	39.83333333	Shield volcano
Erciyes Dagi	Turkey	Radiocarbon	38.51666667	35.48333333	Stratovolcano
Süphan Dagi	Turkey	Holocene	38.91666667	42.81666667	Stratovolcano
Girekol Tepe	Turkey	Holocene	39.16666667	43.33333333	Shield volcano
Nemrut Dagi	Turkey	Historical	38.65	42.23333333	Stratovolcano
Tendürek Dagi	Turkey	Historical	39.36666667	43.86666667	Shield volcano
Ararat	Turkey	Historical	39.7	44.3	Stratovolcano
Kars Plateau	Turkey	Holocene?	40.75	42.9	Volcanic field
Elbrus	Russia-SW	Tephrochronology	43.33333333	42.45	Stratovolcano
Kasbek	Georgia	Tephrochronology	42.7	44.5	Stratovolcano
Kabargin Oth Group	Georgia	Holocene	42.55	44	Cinder cones
Unnamed	Georgia	Holocene	42.45	44.25	Cinder cones
Unnamed	Georgia	Holocene	41.55	43.6	Lava cones
Aragats	Armenia	Holocene	40.53333333	44.2	Stratovolcano
Ghegam Ridge	Armenia	Anthropology	40.275	44.75	Volcanic field
Dar-Alages	Armenia	Anthropology	39.7	45.54166667	Pyroclastic cones
Porak	Armenia	Anthropology	40.01666667	45.78333333	Stratovolcano
Tskhouk-Karckar	Armenia	Tephrochronology	39.73333333	46.01666667	Pyroclastic cones
Tair, Jebel at	Red Sea	Historical	15.55	41.83333333	Stratovolcano
Zukur	Red Sea	Holocene	14.01666667	42.75	Shield volcano
Hanish	Red Sea	Holocene	13.71666667	42.73333333	Shield volcano
Zubair, Jebel	Red Sea	Historical	15.05	42.18333333	Shield volcano
Jalua	Ethiopia	Holocene	15.04166667	39.81666667	Stratovolcano
Dallol	Ethiopia	Historical	14.24166667	40.3	Explosion craters
Alid	Ethiopia	Holocene	14.88333333	39.91666667	Stratovolcano
Gada Ale	Ethiopia	Holocene	13.975	40.40833333	Stratovolcano
Alu	Ethiopia	Holocene	13.825	40.50833333	Fissure vents
